Customer ID,First Name,Last Name,Age,Gender,City,Email,Account Type,Account Balance,TransactionID,Transaction Type,Transaction Amount,Loan Issue Date,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Card Type,Credit Limit,Minimum Payment Due,Rewards Points,Feedback Type,Resolution Status,Anomaly
40,John,Jackson,56,Other,Jacksonville,john.jackson@kag.com,Savings,5152.67,40,Withdrawal,2346.81,01-07-2020,40,27925.28,Mortgage,8.26,12,Rejected,MasterCard,4623.6,2.82,526,Praise,Resolved,1
41,Charles,Williams,60,Other,Austin,charles.williams@kag.com,Current,4767.41,41,Transfer,739.94,05-12-2024,41,17373.2,Mortgage,8.71,48,Rejected,Visa,7976.79,109.18,1841,Complaint,Pending,1
42,David,Martinez,66,Other,Kansas City,david.martinez@kag.com,Current,3713.26,42,Transfer,542,17-12-2020,42,25775.45,Personal,6.12,36,Closed,MasterCard,5660.53,10.12,6292,Complaint,Pending,1
43,Joshua,Flores,22,Other,Philadelphia,joshua.flores@kag.com,Current,4794.63,43,Withdrawal,3786.14,04-04-2021,43,46528.03,Personal,8.98,36,Approved,AMEX,7147.73,59.26,2095,Praise,Resolved,1
44,Karen,Campbell,18,Other,Fresno,karen.campbell@kag.com,Current,5901.51,44,Transfer,126.28,19-01-2023,44,1259.98,Mortgage,8.76,36,Approved,MasterCard,5391.71,117.32,2285,Complaint,Resolved,1
45,Patricia,Adams,20,Other,Mesa,patricia.adams@kag.com,Savings,7362.34,45,Withdrawal,1933.57,21-04-2019,45,21439.08,Personal,7.28,48,Approved,AMEX,6494.58,145.34,7103,Praise,Resolved,1
46,Matthew,Smith,65,Other,Atlanta,matthew.smith@kag.com,Savings,9186.97,46,Transfer,1986.21,30-10-2023,46,17348.3,Mortgage,4.27,24,Closed,AMEX,5610.23,219.17,4173,Praise,Pending,1
47,Susan,Lewis,41,Other,San Francisco,susan.lewis@kag.com,Current,539.4,47,Transfer,4466.28,11-08-2021,47,48100.32,Mortgage,8.44,36,Closed,MasterCard,9925.21,46.2,722,Suggestion,Resolved,1
48,Stephanie,Roberts,46,Male,Omaha,stephanie.roberts@kag.com,Current,5736.51,48,Withdrawal,3874.71,11-08-2023,48,48720.82,Mortgage,4.53,36,Rejected,MasterCard,2867.41,77.16,5615,Suggestion,Resolved,1
49,David,King,32,Female,Omaha,,Current,7544.54,49,Transfer,2558.28,22-11-2022,49,29697.37,Personal,4.63,48,Approved,MasterCard,9023.88,139.3,2212,Suggestion,Resolved,1
50,Sandra,Gonzalez,21,Female,Fort Worth,sandra.gonzalez@kag.com,Current,1243.99,50,Transfer,2404.27,23-07-2019,50,27950.34,Auto,7.1,60,Closed,Visa,5180.67,53.17,2445,Praise,Resolved,1
51,Mary,Smith,61,Other,Nashville,mary.smith@kag.com,Current,9123.83,51,Withdrawal,2832.35,23-06-2023,51,45257.41,Mortgage,9.35,48,Rejected,AMEX,1226.63,226.88,61,Suggestion,Resolved,-1
52,Sarah,King,18,Other,Omaha,sarah.king@kag.com,Current,2525.4,52,Deposit,1795.56,05-12-2022,52,1320.58,Mortgage,5.5,48,Approved,AMEX,9801.79,218.48,2757,Complaint,Pending,1
53,Betty,Lewis,66,Male,Denver,betty.lewis@kag.com,Current,8349.99,53,Withdrawal,3506.88,10-12-2018,53,28551.75,Mortgage,2.59,60,Rejected,AMEX,8825.31,221.72,2042,Praise,Pending,1
54,Timothy,Mitchell,32,Other,Chicago,timothy.mitchell@kag.com,Savings,6653.87,54,Deposit,3433.5,23-08-2020,54,2206.99,Mortgage,2.28,12,Approved,MasterCard,1662.19,180.07,4735,Praise,Resolved,1
55,John,Campbell,41,Male,Seattle,john.campbell@kag.com,Savings,5639.51,55,Transfer,2877.53,09-01-2020,55,48439.95,Mortgage,3.72,48,Approved,AMEX,4451.64,249.06,8927,Praise,Pending,1
56,Amanda,Gonzalez,69,Female,Denver,amanda.gonzalez@kag.com,Savings,8705.5,56,Deposit,297.89,06-04-2020,56,16687.82,Auto,5.12,48,Approved,MasterCard,8771.57,206.55,8261,Praise,Resolved,1
57,Linda,Mitchell,48,Female,Philadelphia,linda.mitchell@kag.com,Current,9695.42,57,Withdrawal,642.92,06-05-2024,57,26519.26,Mortgage,3.68,36,Closed,MasterCard,5559.78,124,2928,Suggestion,Pending,1
58,Timothy,Carter,37,Other,Indianapolis,timothy.carter@kag.com,Savings,9971.6,58,Transfer,205.99,12-01-2025,58,21460.86,Personal,7.41,24,Rejected,Visa,9315.29,184.69,5456,Suggestion,Pending,1
59,Andrew,Lewis,27,Male,San Diego,andrew.lewis@kag.com,Current,6864.48,59,Deposit,3595.39,30-10-2020,59,44787.58,Auto,5.88,24,Rejected,AMEX,6365.93,23.96,3616,Praise,Resolved,1
60,Susan,Hill,28,Male,Seattle,susan.hill@kag.com,Current,3457.4,60,Withdrawal,2393.22,13-12-2020,60,49991.08,Mortgage,4.66,48,Closed,Visa,8287.3,229.51,9195,Praise,Resolved,-1
61,Thomas,White,35,Female,Colorado Springs,thomas.white@kag.com,Current,8759.52,61,Deposit,4775.36,12-12-2018,61,4351.01,Auto,2.92,24,Approved,MasterCard,5051.49,246.04,4132,Praise,Resolved,1
62,Margaret,Sanchez,51,Female,Fort Worth,margaret.sanchez@kag.com,Savings,6578.05,62,Withdrawal,4762.12,29-12-2024,62,36869.53,Mortgage,6.45,36,Approved,AMEX,1834.47,214.25,8052,Praise,Resolved,1
63,Stephanie,Taylor,45,Male,Jacksonville,stephanie.taylor@kag.com,Savings,3300.96,63,Transfer,3992.87,10-12-2023,63,19031.93,Auto,7.07,48,Approved,AMEX,3042.97,8.9,130,Praise,Pending,-1
64,Michelle,Miller,55,Male,San Antonio,michelle.miller@kag.com,Current,,64,Withdrawal,2220.81,06-03-2023,64,7814.57,Mortgage,8.06,48,Rejected,AMEX,2220.55,41.3,2892,Suggestion,Pending,1
65,Patricia,Gonzalez,33,Female,New York,patricia.gonzalez@kag.com,Savings,7501.74,65,Deposit,1588.59,15-03-2024,65,20866.44,Personal,9.92,48,Rejected,AMEX,8216.62,26.38,1801,Praise,Pending,1
66,Mary,Jones,41,Male,Mesa,mary.jones@kag.com,Savings,4583,66,Transfer,1012.86,07-01-2021,66,49909.18,Mortgage,3.08,36,Rejected,MasterCard,9313.17,106.41,6734,Complaint,Resolved,1
67,Jennifer,Sanchez,56,Female,Nashville,jennifer.sanchez@kag.com,Savings,4599.46,67,Transfer,1170.15,11-02-2018,67,18520.8,Auto,1.14,24,Approved,AMEX,3075.82,9.53,466,Praise,Pending,1
68,Carol,Carter,68,Male,Atlanta,carol.carter@kag.com,Savings,9959.69,68,Withdrawal,4951.69,08-12-2024,68,14592.57,Personal,5.5,48,Approved,AMEX,3895.3,235.84,6101,Praise,Resolved,-1
69,Patricia,Williams,29,Other,Las Vegas,patricia.williams@kag.com,Current,3799.72,69,Transfer,2656.44,23-11-2020,69,42462.4,Auto,9.32,60,Approved,AMEX,7657.6,146.26,71,Suggestion,Resolved,1
70,Mark,Miller,67,Female,Boston,mark.miller@kag.com,Current,1031.4,70,Deposit,71.14,27-01-2021,70,43528.96,Auto,3.24,48,Rejected,Visa,4900.65,141.88,7405,Complaint,Resolved,1
71,Karen,Carter,59,Male,San Antonio,karen.carter@kag.com,Savings,5431.76,71,Transfer,231.02,17-03-2019,71,17604.59,Mortgage,7.8,24,Approved,AMEX,8291.94,111.5,5695,Suggestion,Resolved,1
72,Sandra,Hill,24,Female,San Francisco,sandra.hill@kag.com,Savings,8860.06,72,Withdrawal,2299.24,21-04-2021,72,15634.98,Personal,3.88,12,Approved,Visa,3866.07,84.46,6865,Complaint,Resolved,1
73,Amanda,Smith,53,Male,Memphis,amanda.smith@kag.com,Savings,5886.75,73,Withdrawal,2222.97,21-10-2024,73,32716.79,Mortgage,4.52,12,Closed,Visa,5748.09,121.07,257,Complaint,Resolved,1
74,Kimberly,Carter,34,Other,Baltimore,kimberly.carter@kag.com,Current,7951.57,74,Transfer,2033.74,14-02-2019,74,11053.75,Auto,9.53,12,Rejected,AMEX,8505.91,129.38,7360,Praise,Pending,1
75,Elizabeth,Taylor,66,Other,San Antonio,elizabeth.taylor@kag.com,Savings,643.16,75,Deposit,4119.78,24-11-2024,75,24700.58,Personal,5.15,60,Rejected,MasterCard,4149.29,173.94,1339,Suggestion,Pending,-1
76,Margaret,Nelson,21,Other,Tucson,margaret.nelson@kag.com,Current,6766.61,76,Transfer,3518.75,09-10-2018,76,7925.84,Mortgage,7.53,12,Rejected,MasterCard,6771.04,41.31,5136,Suggestion,Pending,1
77,Susan,Harris,54,Female,San Antonio,susan.harris@kag.com,Savings,884.02,77,Transfer,546.01,27-05-2022,77,15932.98,Auto,5.95,36,Rejected,AMEX,6816.02,143.81,1868,Praise,Pending,1
78,Donald,Williams,50,Other,Las Vegas,donald.williams@kag.com,Savings,5607.93,78,Withdrawal,1819.77,13-05-2020,78,15576.59,Personal,7.88,36,Closed,MasterCard,4167.36,144.78,2974,Suggestion,Resolved,1
79,Deborah,Anderson,36,Female,Austin,deborah.anderson@kag.com,Current,5027.9,79,Transfer,2987.43,07-02-2023,79,35050.1,Mortgage,3.86,12,Closed,AMEX,7692.29,91.75,9311,Praise,Resolved,1
80,Joseph,Lewis,43,Other,Dallas,joseph.lewis@kag.com,Current,9461.48,80,Deposit,1918.62,31-12-2021,80,14831.38,Personal,8.89,12,Closed,AMEX,5756.9,241.07,5682,Praise,Pending,1
81,Linda,Nelson,28,Female,Fort Worth,linda.nelson@kag.com,Current,1411.4,81,Deposit,1049.44,13-08-2024,81,45026.29,Personal,5.94,24,Closed,AMEX,6346.33,186.28,8898,Complaint,Resolved,1
82,Susan,Young,48,Other,Sacramento,susan.young@kag.com,Current,193.96,82,Deposit,3143.98,02-09-2023,82,49169.26,Mortgage,3.78,36,Approved,MasterCard,4514.98,177.69,4919,Complaint,Resolved,1
83,Daniel,Sanchez,18,Male,Houston,daniel.sanchez@kag.com,Savings,1459.81,83,Deposit,3015.22,28-09-2020,83,4972.02,Auto,1.34,24,Approved,MasterCard,1809.62,218.28,9222,Praise,Resolved,1
84,Michelle,Thomas,57,Male,Mesa,michelle.thomas@kag.com,Current,1789.99,84,Deposit,4873.3,29-12-2021,84,20484.73,Mortgage,1.12,24,Closed,AMEX,7285.15,84.73,6577,Complaint,Pending,1
85,Charles,Harris,53,Female,Louisville,charles.harris@kag.com,Current,2584.02,85,Transfer,2809.74,08-05-2023,85,15790.21,Mortgage,4.18,12,Approved,AMEX,4087.24,53.17,697,Praise,Resolved,1
86,Jessica,Ramirez,46,Other,San Jose,jessica.ramirez@kag.com,Current,8169.38,86,Deposit,4372.74,04-01-2024,86,18247.52,Personal,2.94,24,Rejected,MasterCard,6476.25,109.57,4225,Suggestion,Resolved,1
87,Brian,Rodriguez,42,Other,El Paso,brian.rodriguez@kag.com,Savings,3831.12,87,Deposit,4746.49,18-01-2021,87,14002.39,Mortgage,1.47,12,Approved,AMEX,9170.78,149.39,8866,Complaint,Pending,1
88,Karen,Smith,64,Male,Denver,karen.smith@kag.com,Current,8423.5,88,Transfer,2179.57,20-03-2020,88,19750.58,Personal,5.98,12,Approved,Visa,8514.73,139.4,7888,Complaint,Pending,1
89,Timothy,Lewis,66,Other,Atlanta,timothy.lewis@kag.com,Savings,2792.15,89,Transfer,273.94,14-12-2024,89,7929.32,Auto,9.9,48,Approved,Visa,6663.31,55.1,4072,Praise,Pending,1
90,Nancy,Perez,35,Other,Colorado Springs,nancy.perez@kag.com,Savings,8619.36,90,Deposit,726.04,23-05-2023,90,14711.1,Personal,4.8,36,Approved,MasterCard,3047.11,67.17,1434,Suggestion,Resolved,1
91,Sandra,Thomas,20,Female,Las Vegas,sandra.thomas@kag.com,Current,180.1,91,Deposit,2524.81,01-05-2021,91,37643.08,Mortgage,5.97,60,Closed,Visa,5646.98,231.43,6763,Complaint,Pending,1
92,Matthew,Green,35,Male,Indianapolis,matthew.green@kag.com,Savings,9351.9,92,Withdrawal,4465.86,07-01-2022,92,17858.28,Mortgage,2.98,36,Approved,MasterCard,4373.69,20.28,1807,Complaint,Pending,1
93,Brian,Baker,24,Other,Tucson,brian.baker@kag.com,Current,7485.89,93,Deposit,3274.12,24-02-2024,93,11183.91,Mortgage,2.84,60,Approved,Visa,6319.51,126.01,7430,Praise,Pending,1
94,Kenneth,Green,45,Other,Fort Worth,kenneth.green@kag.com,Savings,4186.03,94,Deposit,1015.39,12-10-2022,94,6313.76,Auto,3.96,48,Rejected,MasterCard,7582.01,118.67,2695,Suggestion,Resolved,1
95,Mark,Miller,34,Female,Fresno,mark.miller@kag.com,Savings,5815.62,95,Withdrawal,3508.21,17-06-2020,95,18052.2,Mortgage,8.52,48,Closed,Visa,7536.36,95.84,2170,Praise,Pending,1
96,Joseph,Wilson,42,Female,San Antonio,joseph.wilson@kag.com,Current,9336.87,96,Transfer,4472.15,07-05-2024,96,32527.05,Mortgage,9.65,36,Rejected,MasterCard,1512.66,195.9,1024,Complaint,Resolved,1
97,Brian,Lewis,35,Female,Austin,brian.lewis@kag.com,Current,5867.35,97,Transfer,160.83,22-11-2019,97,13411.94,Personal,7.66,48,Approved,Visa,4355.01,230.65,2512,Suggestion,Resolved,1
98,James,Jackson,69,Female,Milwaukee,james.jackson@kag.com,Savings,2362.83,98,Transfer,1221.63,10-08-2018,98,21699.84,Mortgage,1.19,48,Approved,AMEX,4510.45,249.32,7899,Praise,Resolved,1
99,Matthew,Jackson,57,Other,Memphis,matthew.jackson@kag.com,Current,5771.45,99,Deposit,774.37,07-10-2018,99,47667.53,Personal,4.95,12,Rejected,MasterCard,2685.39,30.68,3175,Suggestion,Pending,1
100,John,Johnson,60,Other,San Jose,john.johnson@kag.com,Current,8727.33,100,Withdrawal,3922.67,24-08-2023,100,28065.78,Auto,4.79,48,Rejected,AMEX,5380.02,10.71,8789,Praise,Resolved,1
101,David,Green,20,Other,Milwaukee,david.green@kag.com,Savings,9875.75,101,Withdrawal,4458.47,10-06-2022,101,27064.99,Mortgage,9.42,24,Approved,MasterCard,3511.78,68.82,9703,Complaint,Pending,1
102,Nancy,Hall,42,Female,Los Angeles,nancy.hall@kag.com,Savings,5882.42,102,Deposit,2777.24,17-12-2024,102,21087.22,Auto,7.71,48,Rejected,MasterCard,4126.54,170.63,31,Praise,Resolved,1
103,James,Anderson,24,Other,Colorado Springs,james.anderson@kag.com,Savings,1640.89,103,Deposit,4242.53,28-07-2020,103,28285.16,Mortgage,7.43,60,Approved,MasterCard,6153.34,101.13,4147,Complaint,Pending,1
104,Amanda,Williams,64,Male,Charlotte,amanda.williams@kag.com,Current,7740.35,104,Deposit,3288.12,23-03-2024,104,49243.8,Mortgage,6.08,36,Approved,AMEX,8627.02,116.48,7328,Complaint,Pending,1
105,Linda,Hernandez,27,Male,Austin,linda.hernandez@kag.com,Savings,9969.42,105,Deposit,3286.93,16-11-2023,105,13436.54,Mortgage,6.81,60,Closed,MasterCard,4854.94,249.86,4710,Praise,Pending,1
106,Nancy,Rivera,61,Other,Fresno,nancy.rivera@kag.com,Current,4789,106,Transfer,2902.74,26-12-2023,106,47154.47,Personal,7.29,12,Rejected,MasterCard,5861.01,122.83,6998,Suggestion,Resolved,1
107,William,Robinson,61,Female,Colorado Springs,william.robinson@kag.com,Savings,3898.95,107,Withdrawal,259.59,07-12-2020,107,8304.48,Personal,5.97,48,Closed,MasterCard,8157.08,228.84,7527,Complaint,Pending,1
108,Thomas,Flores,68,Male,Houston,thomas.flores@kag.com,Current,5569.76,108,Withdrawal,4685.52,08-10-2018,108,6444.16,Personal,8.6,24,Approved,Visa,4867.49,102.92,233,Praise,Resolved,1
109,Linda,Moore,36,Other,Austin,linda.moore@kag.com,Current,1731.19,109,Withdrawal,1785.3,10-02-2022,109,33078.81,Mortgage,1.33,12,Closed,AMEX,4475.64,110.04,3505,Suggestion,Pending,1
110,Andrew,Mitchell,32,Male,Memphis,andrew.mitchell@kag.com,Savings,9715.71,110,Transfer,4014.86,02-10-2020,110,13307.77,Mortgage,9.47,36,Closed,MasterCard,6993.33,192.87,6390,Suggestion,Pending,1
111,Andrew,Johnson,38,Male,Los Angeles,andrew.johnson@kag.com,Savings,8399.51,111,Transfer,4051.82,08-08-2018,111,22775.22,Mortgage,7.96,48,Approved,AMEX,3437.91,225.36,6264,Suggestion,Pending,1
112,Steven,Young,38,Male,Indianapolis,steven.young@kag.com,Current,1218.61,112,Withdrawal,4829.15,19-05-2021,112,36753.08,Personal,5.76,36,Approved,AMEX,1256.36,203.23,7027,Praise,Pending,1
113,Robert,Davis,54,Male,Colorado Springs,robert.davis@kag.com,Savings,9456.31,113,Transfer,1640.23,29-07-2024,113,27207.23,Personal,8.74,12,Closed,Visa,2209.7,117.86,2290,Praise,Pending,1
114,Carol,Perez,45,Other,San Jose,carol.perez@kag.com,Savings,9433.91,114,Transfer,4987.02,11-08-2019,114,1673.72,Auto,8.45,24,Closed,AMEX,3479.44,174.51,4252,Suggestion,Resolved,1
115,Joshua,Garcia,62,Male,Atlanta,joshua.garcia@kag.com,Current,3231.91,115,Withdrawal,1509.87,12-11-2019,115,15986.32,Personal,4.77,36,Rejected,Visa,8283.82,65.94,5608,Praise,Pending,1
116,Kenneth,Lopez,49,Other,San Francisco,kenneth.lopez@kag.com,Current,6229.51,116,Deposit,2262.34,29-12-2018,116,4169.65,Auto,8.56,48,Closed,AMEX,2894.62,19.3,6192,Suggestion,Resolved,1
117,Betty,Campbell,58,Male,Nashville,betty.campbell@kag.com,Savings,1196.47,117,Withdrawal,3534.19,19-12-2023,117,46379.61,Auto,2.7,60,Rejected,Visa,6586.05,39.5,2828,Suggestion,Resolved,-1
118,John,Flores,44,Male,Denver,john.flores@kag.com,Savings,933.49,118,Deposit,783.39,17-11-2024,118,39937.78,Personal,5.22,60,Closed,Visa,3783.95,6.02,4647,Suggestion,Pending,1
119,David,Scott,40,Male,San Antonio,david.scott@kag.com,Savings,5067.77,119,Transfer,1339.2,19-06-2021,119,49208.24,Mortgage,3.09,36,Rejected,AMEX,1529.45,111.13,1429,Complaint,Resolved,1
120,Linda,Anderson,27,Other,Kansas City,linda.anderson@kag.com,Savings,591.81,120,Deposit,3643.29,28-02-2018,120,44370.37,Personal,2.12,24,Closed,AMEX,8489.28,163.91,8769,Suggestion,Resolved,1
121,Barbara,Ramirez,57,Male,San Diego,barbara.ramirez@kag.com,Savings,8761.43,121,Deposit,4872.18,03-10-2019,121,24291.27,Auto,9.05,12,Approved,MasterCard,9401.57,8.36,43,Suggestion,Pending,1
122,Kimberly,Carter,58,Male,San Jose,kimberly.carter@kag.com,Current,9288.14,122,Deposit,3666.67,23-09-2020,122,44247.28,Mortgage,4.3,48,Approved,Visa,2496.41,12.95,9399,Complaint,Resolved,-1
